Prscrbr_Geo_Desc,Brnd_Name,Opioid_Drug_Flag,Total_Claims,Total_Cost,Cost_Per_Claim,Claims_Per_Prescriber,Cost_Per_Patient,Cluster,Is_Suspicious
Alabama,Acetaminophen-Codeine,Y,36108,538820.34,14.922464273845131,12.550573514077163,40.43376407023863,1,1
Alabama,Acthar,N,87,5033065.72,57851.330114942524,14.5,457551.4290909091,3,1
Alabama,Adempas,N,567,8005685.29,14119.374409171076,24.652173913043477,125088.83265625,3,1
Alabama,Alprazolam,N,230846,1008265.97,4.367699548616827,55.69264173703257,26.55847566115267,0,1
Alabama,Amlodipine Besylate,N,917635,6155296.87,6.707783454205648,104.80070808588397,26.008809483567283,0,1
Alabama,Ampyra,N,248,1460903.73,5890.740846774193,41.333333333333336,28094.302499999998,2,1
Alabama,Asa-Butalb-Caffeine-Codeine,Y,175,15856.07,90.60611428571428,6.481481481481482,609.8488461538461,1,1
Alabama,Atorvastatin Calcium,N,1077326,13422992.98,12.459546116959954,130.1747220879652,48.46265734215239,0,1
Alabama,Belbuca,Y,6170,4581503.41,742.5451231766613,36.294117647058826,3767.6837253289473,1,1
Alabama,Biktarvy,N,11017,44467268.85,4036.2411591177274,34.753943217665615,33283.88386976048,2,1
Alabama,Buprenorphine,Y,14683,3900845.65,265.67088810188653,41.594900849858355,1311.2086218487395,1,1
Alabama,Buprenorphine-Naloxone,N,46891,8919630.24,190.22051651702887,70.19610778443113,1611.4959783197833,0,1
Alabama,Butrans,Y,473,195467.8,413.25116279069766,6.064102564102564,1714.6298245614034,1,1
Alabama,Cabometyx,N,741,18749446.52,25302.896788124155,7.41,137863.57735294118,3,1
Alabama,Carvedilol,N,386274,3601786.18,9.324433381485681,55.50711309096135,37.576928566212146,0,1
Alabama,Clonazepam,N,217357,1419278.85,6.52971309872698,55.67546106557377,41.81113124171454,0,1
Alabama,Diclofenac Epolamine,N,3126,2254668.55,721.2631317978246,67.95652173913044,5055.310650224214,0,1
Alabama,Eliquis,N,459160,357683684.61,778.9957413755554,59.41511387163561,4300.219825073938,0,1
Alabama,Enbrel Sureclick,N,4546,35781171.45,7870.913209414871,32.014084507042256,61479.67603092784,2,1
Alabama,Enspryng,N,106,1953229.72,18426.695471698113,15.142857142857142,177566.33818181817,3,1
Alabama,Erleada,N,2474,35426646.32,14319.582182700082,21.70175438596491,106386.32528528529,3,1
Alabama,Fentanyl,Y,13116,1381940.81,105.36297727965844,13.93836344314559,650.6312664783428,1,1
Alabama,Ferriprox (2 Times A Day),N,87,2080608.59,23915.041264367817,14.5,148614.8992857143,3,1
Alabama,Fotivda,N,62,1778430.55,28684.363709677422,3.1,88921.5275,3,1
Alabama,Furosemide,N,430551,2062332.7,4.7899846940316015,52.423109704127604,17.2552707100963,0,1
Alabama,Gabapentin,N,713402,9275380.37,13.001618119937985,98.46818495514148,64.26776121781546,0,1
Alabama,Gammagard Liquid,N,2224,22561561.36,10144.586942446043,24.98876404494382,131171.868372093,3,1
Alabama,Gammaked,N,690,8385865.04,12153.427594202898,15.681818181818182,135255.8877419355,3,1
Alabama,Gammaplex,N,1847,25910558.54,14028.456166756903,22.253012048192772,154229.5151190476,3,1
Alabama,Gattex,N,133,6565528.88,49364.87879699248,9.5,410345.555,3,1
Alabama,Humira(Cf) Pen,N,9244,81736108.62,8842.071464733883,24.198952879581153,66452.1208292683,3,1
Alabama,Hydrochlorothiazide,N,326712,1462068.56,4.475099047479126,49.92542787286064,15.784815762483131,0,1
Alabama,Hydrocodone Bitartrate Er,Y,334,134956.12,404.0602395209581,6.30188679245283,1900.7904225352113,1,1
Alabama,Hydrocodone-Acetaminophen,Y,787968,14331860.51,18.188378855486516,96.43470811406192,75.63905123049236,0,1
Alabama,Hydromorphone Er,Y,67,14295.94,213.37223880597017,5.153846153846154,953.0626666666667,1,1
Alabama,Hysingla Er,Y,663,394290.6,594.7067873303167,11.631578947368421,4332.863736263736,1,1
Alabama,Ibrance,N,2146,32588886.09,15185.874226467848,16.01492537313433,122514.60936090225,3,1
Alabama,Iclusig,N,82,1767217.06,21551.42756097561,5.466666666666667,126229.79000000001,3,1
Alabama,Imbruvica,N,2463,37179644.18,15095.267632967925,17.978102189781023,144667.87618677042,3,1
Alabama,Jakafi,N,1998,31990876.64,16011.44976976977,16.24390243902439,130044.21398373984,3,1
Alabama,Jardiance,N,194299,185272909.58,953.5453583394666,37.01638407315679,4335.491870173632,2,1
Alabama,Jynarque,N,126,2449224.29,19438.288015873015,12.6,222656.75363636363,3,1
Alabama,Kesimpta Pen,N,1095,10017355.59,9148.269945205479,23.29787234042553,82109.47204918033,3,1
Alabama,Keytruda,N,218,2616486.08,12002.229724770643,27.25,79287.45696969697,3,1
Alabama,Korlym,N,90,2668404.06,29648.934,6.428571428571429,166775.25375,3,1
Alabama,Latanoprost,N,185792,2600432.54,13.996472076300378,74.94634933440904,58.626398683379925,0,1
Alabama,Lenalidomide,N,3225,40664117.44,12609.02866356589,24.431818181818183,74069.43067395264,3,1
Alabama,Lenvima,N,590,13852156.32,23478.23105084746,5.959595959595959,100377.9443478261,3,1
Alabama,Levothyroxine Sodium,N,721188,8767073.15,12.156432372696163,97.84126984126983,56.4034686524914,0,1
Alabama,Lisinopril,N,492560,3770795.52,7.655504953711223,65.30893662158579,29.772650628094084,0,1
Alabama,Losartan Potassium,N,595835,6928470.55,11.628169795329244,79.71036789297659,44.40331047521389,0,1
Alabama,Mavenclad,N,81,5907416.2,72931.06419753087,5.785714285714286,131275.91555555555,3,1
Alabama,Mayzent,N,375,3591331.6,9576.884266666666,31.25,99759.21111111112,3,1
Alabama,Meloxicam,N,339369,1730017.02,5.097746170098035,47.524016244223496,15.721853342905698,0,1
Alabama,Metformin Hcl,N,367256,2892071.18,7.8748098873810095,59.55180801037782,29.58822209035849,0,1
Alabama,Methadone Hcl,Y,10084,210000.88,20.825156683855614,26.05684754521964,173.12521022258863,1,1
Alabama,Metoprolol Succinate,N,488445,7668674.15,15.700179447020648,67.87729294052251,60.064493553895076,0,1
Alabama,Montelukast Sodium,N,302132,3859051.08,12.772732050891664,53.77928088287647,46.20456029022641,0,1
Alabama,Morphine Sulfate,Y,9705,223949.74,23.075707367336424,10.151673640167363,74.77453756260434,1,1
Alabama,Morphine Sulfate Er,Y,29261,946039.49,32.331071733706985,27.552730696798495,233.8209317844785,1,1
Alabama,Mounjaro,N,175463,212612831.22,1211.7245870639395,46.80261403040811,7344.6466498549125,0,1
Alabama,Neulasta Onpro,N,324,2336901.06,7212.657592592593,46.285714285714285,27173.268139534885,2,1
Alabama,Nucynta,Y,1227,1114179.27,908.051564792176,9.088888888888889,5833.399319371728,1,1
Alabama,Nucynta Er,Y,1348,1492951.07,1107.5304673590506,14.041666666666666,8434.751807909604,1,1
Alabama,Ocrevus,N,226,8322040.67,36823.188805309735,5.794871794871795,64015.69746153846,3,1
Alabama,Ofev,N,2622,32672088.08,12460.75060259344,20.976,77422.00966824644,3,1
